Size,YN,sigmaN
10,"0,495","0,95"
11,"0,5","0,968"
12,"0,504","0,983"
13,"0,507","0,997"
14,"0,51","1,01"
15,"0,513","1,021"
16,"0,516","1,032"
17,"0,518","1,041"
18,"0,52","1,049"
19,"0,522","1,057"
20,"0,524","1,063"
21,"0,525","1,07"
22,"0,527","1,075"
23,"0,528","1,081"
24,"0,53","1,086"
25,"0,531","1,092"
26,"0,532","1,096"
27,"0,533","1,1"
28,"0,534","1,105"
29,"0,535","1,109"
30,"0,536","1,112"
31,"0,537","1,116"
32,"0,538","1,119"
33,"0,539","1,123"
34,"0,54","1,126"
35,"0,54","1,129"
36,"0,541","1,131"
37,"0,542","1,134"
38,"0,542","1,136"
39,"0,543","1,139"
40,"0,544","1,141"
41,"0,544","1,144"
42,"0,545","1,146"
43,"0,545","1,148"
44,"0,546","1,15"
45,"0,546","1,152"
46,"0,547","1,154"
47,"0,547","1,557"
48,"0,548","1,157"
49,"0,548","1,159"
50,"0,549","1,161"
51,"0,549","1,162"
52,"0,549","1,164"
53,"0,55","1,166"
54,"0,55","1,167"
55,"0,55","1,168"
56,"0,551","1,17"
57,"0,551","1,171"
58,"0,552","1,172"
59,"0,552","1,173"
60,"0,552","1,175"
61,"0,552","1,176"
62,"0,553","1,177"
63,"0,553","1,178"
64,"0,553","1,179"
65,"0,554","1,18"
66,"0,554","1,181"
67,"0,554","1,182"
68,"0,554","1,183"
69,"0,555","1,184"
70,"0,555","1,185"
71,"0,555","1,186"
72,"0,555","1,187"
73,"0,556","1,188"
74,"0,556","1,189"
75,"0,556","1,19"
76,"0,556","1,191"
77,"0,556","1,192"
78,"0,557","1,192"
79,"0,557","1,193"
80,"0,557","1,194"
81,"0,557","1,195"
82,"0,557","1,195"
83,"0,557","1,196"
84,"0,558","1,967"
85,"0,558","1,197"
86,"0,558","1,198"
87,"0,558","1,199"
88,"0,558","1,199"
89,"0,559","1,2"
90,"0,559","1,201"
91,"0,559","1,201"
92,"0,559","1,202"
93,"0,559","1,203"
94,"0,559","1,203"
95,"0,559","1,204"
96,"0,56","1,204"
97,"0,56","1,205"
98,"0,56","1,206"
99,"0,56","1,206"
100,"0,56","1,207"
